"id_incumplimiento","id_tramite","parte_responsable","descripcion","fecha_detalle","penalidad_aplicable"
"1","1","Proveedor","Entrega demorada o sin respuesta del proveedor.","2025-10-19 00:00:00","0"
"2","3","Proveedor","Envió prótesis incorrecta, requiere reemplazo.","2025-10-18 00:00:00","0"
"3","6","Proveedor","Entrega demorada o sin respuesta del proveedor.","2025-10-21 00:00:00","0"
"4","7","Proveedor","Envió prótesis incorrecta, requiere reemplazo.","2025-10-20 00:00:00","0"
"5","11","Prestador","Prestador demoró confirmación o reagendó cirugía.","2025-10-15 00:00:00","0"
"6","15","Proveedor","Entrega demorada o sin respuesta del proveedor.","2025-10-15 00:00:00","0"
"7","18","Proveedor","Entrega demorada o sin respuesta del proveedor.","2025-10-15 00:00:00","0"
"8","19","Prestador","Prestador demoró confirmación o reagendó cirugía.","2025-10-21 00:00:00","0"
"9","20","Proveedor","Entrega demorada o sin respuesta del proveedor.","2025-10-21 00:00:00","0"
"10","24","Proveedor","Entrega demorada o sin respuesta del proveedor.","2025-10-16 00:00:00","0"
"11","26","Proveedor","Entrega demorada o sin respuesta del proveedor.","2025-10-19 00:00:00","0"
"12","27","Proveedor","Entrega demorada o sin respuesta del proveedor.","2025-10-17 00:00:00","0"
"13","28","Proveedor","Entrega demorada o sin respuesta del proveedor.","2025-10-14 00:00:00","0"
"14","31","Proveedor","Entrega demorada o sin respuesta del proveedor.","2025-10-08 00:00:00","0"
"15","34","Proveedor","Entrega demorada o sin respuesta del proveedor.","2025-10-10 00:00:00","0"
"16","35","Prestador","Prestador demoró confirmación o reagendó cirugía.","2025-10-30 00:00:00","0"
"17","38","Prestador","Prestador demoró confirmación o reagendó cirugía.","2025-10-15 00:00:00","0"
"18","39","Proveedor","Entrega demorada o sin respuesta del proveedor.","2025-10-21 00:00:00","0"
"19","40","Proveedor","Entrega demorada o sin respuesta del proveedor.","2025-10-13 00:00:00","0"
"20","41","Proveedor","Envió prótesis incorrecta, requiere reemplazo.","2025-10-26 00:00:00","0"
"21","43","Proveedor","Entrega demorada o sin respuesta del proveedor.","2025-10-15 00:00:00","0"
"22","44","Proveedor","Envió prótesis incorrecta, requiere reemplazo.","2025-10-28 00:00:00","0"
"23","49","Prestador","Prestador demoró confirmación o reagendó cirugía.","2025-10-29 00:00:00","0"
